country,gdp
Restored,424.44	
                         ,142.14
                           ,0
Much Improved,0	
                        ,161.8
,0.0
Improved ,5340	
                      ,487.88
                                 ,0.00
Stationary,272.56	
                     ,238
                                                      ,0.000
Died in Asylum,1086	
                   ,2386.4
                                                          ,0.0000 
