country,gdp
Restored,233.71
                         ,194.90
                           ,0
Much Improved,311.58		
                        ,181.42
,0.0
Improved ,397.03
                      ,376.75
                                 ,0.00
Stationary,699.74
                     ,5210.76
                                                      ,0.000
Died in Asylum,2043.78	
                   ,1659.27
                                                          ,0.0000 
