country,gdp
Restored,259.53
                         ,339.97
                           ,0
Much Improved,215
                        ,226.33
,0.0
Improved ,247.88
                      ,398.27
                                 ,0.00
Stationary,760.62
                     ,235.16
                                                      ,0.000
Died in Asylum,1518.4	
                   ,1405.05
                                                          ,0.0000 
