country,gdp
Restored,219.63
                         ,176.43
                           ,0
Much Improved,282.92
                        ,391.85
,0.0
Improved ,701.05
                      ,408.33
                                 ,0.00
Stationary,914.02
                     ,3025.54
                                                      ,0.000
Died in Asylum,2561.25	
                   ,2073.60
                                                          ,0.0000 
