country,gdp
Restored,0
                         ,308
                           ,0
Much Improved,269.3333333	
                        ,0
,0.0
Improved ,91	
                      ,94
                                 ,0.00
Stationary,0		
                     ,117
                                                      ,0.000
Died in Asylum,380	
                   ,9069
                                                          ,0.0000 
