country,gdp
Restored,207.18
                         ,245.06
                           ,0
Much Improved,201
                        ,475.81
,0.0
Improved ,350.11
                      ,418.89
                                 ,0.00
Stationary,1340.28	
                     ,681.98
                                                      ,0.000
Died in Asylum,3818.02	
                   ,2388.56
                                                          ,0.0000   
